qid,docno,score,rank
1,5d3c183b-a611-4d41-a9d4-9cb41b85e29f,19.484375,1
1,ac95d159-ffce-47f4-b296-5535b30793dc,18.953125,2
1,98205be3-28da-495b-9a82-7748dbd894c0,18.6875,3
1,ff34d4a8-e2d1-40a1-b6fd-6dcbd300d430,18.421875,4
1,195f7d8c-f245-4173-b64a-776aef980242,18.359375,5
1,8cffa8b7-2de1-4795-8d0c-53a819def059,18.296875,6
1,aec9894f-ddf0-4f2c-be29-390269c615f2,17.953125,7
1,03d8d5ea-1254-4356-beca-beeabb3a592c,17.953125,8
1,de160ded-218b-4b16-a1d2-7d64ff9e7f81,17.953125,9
1,4d91fb9a-97bb-4130-b339-f1b83c96a215,17.796875,10
8,c8ecc612-3d78-40dc-9292-ee8f9713752c,24.078125,1
8,1de350fc-ca4c-4985-bc44-e4aebe375b77,22.6875,2
8,9df24203-084e-49ef-a9e4-87834645688d,22.375,3
8,f75ca665-5714-45c1-8b74-f298e3896441,22.03125,4
8,b79213fd-c41c-4da7-8e91-4d4ab42c4d4b,21.828125,5
8,37937575-3672-48c1-8e6e-dd7b707326a1,21.484375,6
8,0b96cfe2-78b9-4a1b-802a-bd00ff858d52,21.0625,7
8,ed64a595-dcb2-4cd1-88a9-04abc758bd9f,21.03125,8
8,750bc1da-2174-495e-bc70-3952ecc0a9ed,20.75,9
8,e3025e2a-69ad-430f-afce-a8393bdfea45,20.5625,10
22,4aa2653e-ab5d-4ace-a1a1-a923fefec07a,21.34375,1
22,e1031a32-53f1-4eac-80c0-baf13bca08a8,21.34375,2
22,b601bbe4-f5c1-4c61-bff5-30eade52a960,20.28125,3
22,1b076103-9344-417e-83e8-d0118fa13d2d,20.21875,4
22,1a9ad7cb-345f-4964-adc3-cfb3994c5da6,20.1875,5
22,8161846b-bf86-4852-9a12-aa589b33357e,20.1875,6
22,4564debc-1f0a-496c-a060-5e0db462a9a6,20.15625,7
22,d1618ddb-198c-4b9a-a33b-b9e8bdf6c394,19.90625,8
22,0680669e-7748-4fc1-94fc-bce1261fbd03,19.578125,9
22,cf7fc3e2-8c3e-4b42-86af-9b0147f5405d,19.015625,10
35,93d56ed5-45f3-4c82-a005-089f37c1f255,20.453125,1
35,d7dc887d-5482-484a-a4cf-62b9f47187a3,19.609375,2
35,3a523d2b-89d1-4dfc-8b38-ac5621bb8ffa,19.125,3
35,5921649e-33a9-47ac-a898-35b224edcb27,18.984375,4
35,8319d8de-93c5-489a-b74c-07ef799a5013,18.640625,5
35,dd75970c-83a2-4554-9f64-722d22d5e730,18.640625,6
35,d093a04d-ecf8-4fd8-a4ca-e717aa6b5127,18.609375,7
35,4aa2653e-ab5d-4ace-a1a1-a923fefec07a,18.46875,8
35,e1031a32-53f1-4eac-80c0-baf13bca08a8,18.46875,9
35,f1a26adf-ed4f-41a6-85f6-8fa5901a7e07,18.40625,10
45,4aa2653e-ab5d-4ace-a1a1-a923fefec07a,23.8125,1
45,e1031a32-53f1-4eac-80c0-baf13bca08a8,23.8125,2
45,4d91fb9a-97bb-4130-b339-f1b83c96a215,23.3125,3
45,d5168d78-d866-414f-9dc5-bd91fe2cc95b,23.28125,4
45,168d91f7-524e-4e36-9e55-7476c093886b,22.96875,5
45,cf7fc3e2-8c3e-4b42-86af-9b0147f5405d,22.90625,6
45,cc0155e2-43fe-4974-9faa-bac7ba38f115,22.875,7
45,dce4d79c-7834-4b73-a4e7-e4007dada398,22.75,8
45,a2b97520-7856-4166-aa40-c3d868834b08,22.734375,9
45,93d56ed5-45f3-4c82-a005-089f37c1f255,22.53125,10
51,10d4b2e8-e60b-43b0-a91a-195bf8a53cb0,19.984375,1
51,e64aa8a2-f5e5-4a3a-980a-eb2e3ec98c42,19.46875,2
51,5e02afd6-3a33-4a78-a02a-71369a6a01c1,19.28125,3
51,42030847-d272-4cef-8ea4-1ffc81bb5f55,19.1875,4
51,3705a601-c015-4575-bd92-3f38f463b5ff,19.1875,5
51,0fd15ae3-7865-4945-87c5-5377f4d71d6b,19.1875,6
51,b2f9d9df-97f2-4f4a-9c8e-5527e2bcf028,19.15625,7
51,97e3b3f1-46dd-4ca7-89fd-e6a64d54dd42,19.0,8
51,8acb4772-a108-49d6-9f3f-fdf3b78bd888,18.953125,9
51,765af893-a426-4bdf-a237-c7c6b6393b9a,18.9375,10
52,ac95d159-ffce-47f4-b296-5535b30793dc,22.1875,1
52,0471f457-e64f-4fdd-9815-b889f4643b97,20.65625,2
52,ddd8d4fc-2b27-44c9-99b9-5657387cdd62,19.390625,3
52,adc7ea49-8f73-4a87-8ccf-3c8a7bbad026,19.390625,4
52,0c18fe0c-036d-4c44-a8eb-395a6e79d2d2,19.3125,5
52,5d3c183b-a611-4d41-a9d4-9cb41b85e29f,19.140625,6
52,5b7c6164-4013-4b19-abe2-d6bc7bde84c2,19.078125,7
52,a96a50ed-2a27-45cf-9c8a-6abf98ebdc69,19.0625,8
52,8a4d5710-940b-4cd2-b127-fb62fc63b0dd,19.0,9
52,573a13e9-edfa-4052-9439-01525181650a,18.765625,10
53,2f0f2eab-7b77-43a5-a10e-a7abeed4a024,22.09375,1
53,5cd8763c-f1b4-4172-abb2-240ed360ffdc,21.90625,2
53,a6a33067-cedd-4128-85c9-66923abbcdcd,21.734375,3
53,35cc8b5b-7a34-4444-98cf-ff0532130b7c,21.734375,4
53,2467b52b-a33d-411f-a42f-8c511c32ba14,21.578125,5
53,a49dc504-d7ec-4fa2-b324-67758bbc5387,21.421875,6
53,28cfb261-43c5-43f0-8c4a-e7b5fed9f27f,21.390625,7
53,75bde19c-9239-41a3-b1f3-bfc5af41b34b,20.96875,8
53,5c42e9ef-968e-417c-b4b2-069e22ea4a2a,20.8125,9
53,d87fd98e-00f0-46ec-a79e-76e61ff65d83,20.609375,10
54,b2e7d931-8ad6-4507-9e97-20c8669f1585,19.265625,1
54,b3669cc3-1cd3-4c89-acd4-b019b4150ef7,18.65625,2
54,6bbc95d9-9f6d-43d2-8351-985f7f6245f1,18.625,3
54,604e8e00-9f74-4b51-9ecb-3c342510f9ca,18.5625,4
54,76b48435-fac5-4ad3-b1dc-6d5b40bb8213,18.375,5
54,b798f00f-ab82-425d-bced-df86bc66cfec,18.15625,6
54,7a31b320-0fb9-4fa1-a497-2a9254ab33fc,17.875,7
54,8805397d-2344-4f84-a232-e4dc8412f206,17.84375,8
54,af09bc39-ea16-4a6c-bef0-192530cee17a,17.8125,9
54,5eb2be07-cabc-407c-a9de-6ab7f7488611,17.796875,10
55,a2cba4f0-85c9-4d4f-a7cd-3ff5bc000299,22.59375,1
55,cab3d81b-683b-4ad2-95c4-00c2b349450f,22.015625,2
55,053e0317-a7e4-412a-8a19-fb2e2110c97d,21.921875,3
55,437a7a03-863e-448d-afbd-0fd1c5f0ba41,21.765625,4
55,b2e7d931-8ad6-4507-9e97-20c8669f1585,21.6875,5
55,c39ab200-e35b-4b33-a261-2d3c3bd4ca7b,21.421875,6
55,41ee5024-88a6-4570-b444-00d863f6b804,21.421875,7
55,68373934-614d-4c81-811d-379373d05f4e,21.0625,8
55,54bc2388-6398-4280-8f85-9c5f116964c8,20.984375,9
55,5eb2be07-cabc-407c-a9de-6ab7f7488611,20.84375,10
57,649b8eec-df7a-4c5d-b583-223e18e0d99c,17.359375,1
57,f066bb13-d91a-44c3-ac62-f65351dafe11,16.3125,2
57,8f48cbd7-759f-44d8-a07f-188b5b01eecb,16.171875,3
57,4b887440-aa7f-4c16-bab2-2d3d5368a535,15.4296875,4
57,0dca2b8d-fb18-4f31-89ac-206ba885d9f7,15.40625,5
57,7a97fac5-5052-4c50-87d8-a9d1aa7689ab,15.3671875,6
57,a925962c-b7f3-474b-b5fb-6c8c1822b6d1,15.28125,7
57,e1ef8c2a-dc68-42d6-96bf-08b72a07cf28,15.140625,8
57,5f68c29e-5d3a-4bf6-b6b9-fd10f7551125,15.140625,9
57,d9d57356-cb52-411f-860c-6b2db0524805,15.0859375,10
58,06687fa1-5ba6-4f05-b255-73de03be0a93,20.65625,1
58,9fb9e408-d17e-4948-a087-a4c34b9e0de4,20.4375,2
58,1f78a0ba-c862-48e0-8308-6612cd0e834a,20.125,3
58,0d75da3a-4294-4996-b771-6589c97a47df,20.109375,4
58,7f7eb1f5-6ee2-455a-89f7-f36f4a4be5da,20.046875,5
58,e26ec2fb-705b-4390-9265-b0115de96864,20.0,6
58,554fb95f-c5f8-476a-ab90-7c7ad4a6bb67,20.0,7
58,98d2e8a2-fe82-40b2-9841-cc6d74f51ebe,19.53125,8
58,4d32ce6f-a506-4c83-9a63-dd864eacf8fe,19.5,9
58,f09d394f-553e-45f1-adbb-8982bc85af7d,19.46875,10
59,bb94de98-6746-4edb-99e8-20c0197488c0,20.625,1
59,05083fd1-9167-4bec-a76c-77e69cdff13d,19.78125,2
59,dc235da3-fec1-4305-8ae1-7dc2d3c9ed75,19.75,3
59,0b618efd-09d3-42ae-a88e-42602d4f61f6,19.359375,4
59,2041455b-8bf8-452e-9e47-a33332723b3b,19.34375,5
59,6bbc95d9-9f6d-43d2-8351-985f7f6245f1,19.1875,6
59,b9f19faf-1afd-46d8-907d-6f61a7efb486,18.921875,7
59,9a0c3bce-b81b-4fbe-9fe3-1e92f08558f3,18.921875,8
59,7be7295b-3273-494e-8069-d7f0c148d875,18.75,9
59,0ffdb79d-548d-484f-8441-b8da50af036c,18.3125,10
62,172bac30-9e3b-4a70-9313-424f71e30546,21.53125,1
62,b7fafe1d-190a-42ee-b4ba-54c13aa88737,20.96875,2
62,21225ae3-1567-43cb-8300-ca2460fbb186,20.890625,3
62,76b48435-fac5-4ad3-b1dc-6d5b40bb8213,20.34375,4
62,d4fc7c04-bfcf-482a-a605-afe0cadbb782,20.296875,5
62,c9a467f8-a588-4d1d-8306-ac0914a34e49,19.515625,6
62,0378a4b6-930f-45d5-b518-ca90d8c2384f,19.328125,7
62,8e626ff9-49f8-45d9-a3a8-dcefad10ad50,19.296875,8
62,17013346-bbd4-4704-b6a4-ad4c07680015,19.046875,9
62,8b582eb1-902d-44f4-bf18-5d7649e2530e,19.046875,10
63,39ee7eea-a6b8-430f-878e-6f4dbeca94ab,20.1875,1
63,f307b75e-0d1f-4711-9c14-92b05f1b8049,20.109375,2
63,a7fdc3c1-ce78-4727-9546-baec6a46779e,20.109375,3
63,c0ef4ffe-7b82-4de0-95b4-2d63a0d5b6e6,20.109375,4
63,8e626ff9-49f8-45d9-a3a8-dcefad10ad50,19.265625,5
63,053e0317-a7e4-412a-8a19-fb2e2110c97d,19.21875,6
63,f436cc63-84c8-4573-952e-f3fe48f44ffa,19.109375,7
63,a30ebd0c-fbf2-465c-882d-ef91c9bd57cb,18.890625,8
63,18d9da90-b664-4bc4-b416-e9fd84067b0c,18.734375,9
63,aa5b1e0e-2a1e-4812-abee-5125e8d05755,18.671875,10
68,82003e1d-d320-446a-9f48-0559db835ae0,23.984375,1
68,f356d51a-d516-4818-afb7-746fcc852ae2,23.859375,2
68,8c07ded1-c889-4259-ae03-c7d5a9817183,23.828125,3
68,c319dfac-2430-4d54-9221-cfa13e17b2f9,21.140625,4
68,b2e7d931-8ad6-4507-9e97-20c8669f1585,21.0,5
68,0ffdb79d-548d-484f-8441-b8da50af036c,20.984375,6
68,5987c1da-3eba-465d-9ebc-4454803bb4da,20.984375,7
68,e7f06fc6-bef7-496d-9e08-db8d743b7cc9,20.984375,8
68,32476fc4-8f21-49b7-a645-29a37ba3511c,20.46875,9
68,053e0317-a7e4-412a-8a19-fb2e2110c97d,20.4375,10
72,40e8434b-6d63-4fa4-8eac-8e45445404ad,23.609375,1
72,d310e413-2646-4a5a-8e52-073f69245b13,23.40625,2
72,b937fd65-537f-4f63-ad29-412cf1eaacda,23.203125,3
72,17e829d3-f468-48ac-8d79-a49b0f6ad7da,23.109375,4
72,4b1d683d-7354-4d66-9319-b525d01745ff,23.09375,5
72,cda0d1c0-035f-423e-a6b9-4db429967e2f,23.046875,6
72,1e55acec-882c-48a4-87cd-0d7ef05fd1bd,23.046875,7
72,f9519737-36c7-4c1d-9f4f-f2792e6d810e,23.03125,8
72,426447b4-360d-4877-b2a4-438f08a136fe,23.0,9
72,02dd3e1f-abfd-4506-bb20-9e203e170e48,22.984375,10
77,ef3a0c98-e5ab-47cf-b542-c0b20b8ab2df,19.921875,1
77,6ae643b6-4613-4bb3-a0ac-7eeb4636054e,19.78125,2
77,c4c613bd-599f-4573-b860-c10000857230,19.734375,3
77,ec97f55f-12fd-4b1b-ba89-32e5ec77f28f,19.171875,4
77,9f28e504-f932-472b-a24c-ff68e65a2f0d,19.03125,5
77,7207aea3-d653-444d-aae4-f89c8848638e,19.015625,6
77,f356d51a-d516-4818-afb7-746fcc852ae2,18.90625,7
77,2041455b-8bf8-452e-9e47-a33332723b3b,18.671875,8
77,e1ef8c2a-dc68-42d6-96bf-08b72a07cf28,18.5625,9
77,5f68c29e-5d3a-4bf6-b6b9-fd10f7551125,18.5625,10
79,76b48435-fac5-4ad3-b1dc-6d5b40bb8213,18.859375,1
79,4b887440-aa7f-4c16-bab2-2d3d5368a535,18.421875,2
79,6bbc95d9-9f6d-43d2-8351-985f7f6245f1,18.21875,3
79,d906c47d-243a-46c9-b8bc-538c513b8383,17.90625,4
79,fec26716-f0cf-4e44-a50f-2b7042847ff7,17.796875,5
