qid,docno,score,rank
1,2b4a52cb-b1d9-4f8a-bf71-c12fca6b0ff7,19.28125,1
1,a2473669-a99d-4475-93e4-0a0a91b02253,19.203125,2
1,660a1b20-fab8-4870-ad64-cd54d611ab25,19.09375,3
1,5297e285-cc3b-4d58-8952-591b778ccd6b,18.9375,4
1,08c707de-23a6-4354-ad9c-a8a1f817b4a1,18.859375,5
1,a0d502c7-6cc8-4337-984c-2b0656b1e537,18.34375,6
1,ed635201-92fa-4ac8-887c-3706570da8aa,18.125,7
1,11b557d4-0607-4c0e-b92f-a9cb4bc7e022,17.984375,8
1,8f14fafe-f5eb-461e-a0e1-69ff91d09661,17.984375,9
1,2b545365-c075-48e5-86e6-bedc55c97dc6,17.96875,10
8,ce5d92e8-2950-4094-9c31-19306d4051a6,21.515625,1
8,be66129c-3fdf-49c6-92ab-8ba8c8012735,21.453125,2
8,6f69ae68-918f-4c17-b74c-3d1243763141,21.078125,3
8,4f57fa70-0d29-4b5b-9be8-afe0590f4a32,20.71875,4
8,c5b6568a-8225-44c5-8d54-b9962c702952,20.609375,5
8,74611c77-89f3-49a4-bce3-69d7df62ffd9,20.375,6
8,790d44b3-3bd0-4fbb-80ff-93f7d24c15f5,20.375,7
8,cb0f6fac-21db-489f-95ad-04a89c30e867,20.328125,8
8,2448ee0b-84ec-4e67-b8ed-7c470eb4ab3d,20.328125,9
8,5297e285-cc3b-4d58-8952-591b778ccd6b,19.984375,10
22,e5453bf3-28a2-4579-a16c-a5802afee02b,18.859375,1
22,fa412aee-34ed-45da-83ef-9503fc71283d,18.859375,2
22,dcf64790-4363-48de-b525-09e1fb1f658d,18.859375,3
22,d132f064-2311-4d24-abb7-737df549c329,18.5,4
22,812cc735-7b43-4a88-926d-65560297a5ac,18.296875,5
22,c0386d83-eadc-4eca-83b1-62bf7fd5c428,18.015625,6
22,41295da1-b22d-49f5-a632-88b9a1b5f13f,17.734375,7
22,381d63ae-ec5f-4fa0-b331-7df8b0f63e38,17.6875,8
22,6ed496c0-2281-48c3-b9dc-c270dce83ceb,17.65625,9
22,6555a733-c7b7-422a-84bd-566b7072fe05,17.59375,10
35,dc86f617-002a-452c-9087-b281690108f3,18.328125,1
35,beb829e2-2611-4bfb-b4f4-9630e57cb189,17.53125,2
35,d1618ddb-198c-4b9a-a33b-b9e8bdf6c394,17.5,3
35,6dfbd2f7-4020-47b9-b907-57bdbd18265d,17.328125,4
35,2843d668-b278-42c5-a442-72899a4731f6,17.171875,5
35,e0ef0763-0a04-4b48-b60f-8b4a8de70d34,17.140625,6
35,2a196702-ab5e-44c9-9928-73acf63ad0bb,17.078125,7
35,edbd8d79-8e60-42b0-9c2d-5f197ff8f72a,17.015625,8
35,11b557d4-0607-4c0e-b92f-a9cb4bc7e022,17.0,9
35,81b5d2a5-c462-483c-8946-2a25551ae8eb,16.984375,10
45,660a1b20-fab8-4870-ad64-cd54d611ab25,23.4375,1
45,2f138a1e-67b2-4f73-9797-dcbff9632644,22.640625,2
45,07f740a1-57d8-4107-abac-10635be80f8d,22.5625,3
45,26beb7e0-4941-4e78-a9eb-e8b14a8f9bf4,22.5625,4
45,f2c81876-abd8-44fb-8eeb-8fc639e1764a,22.515625,5
45,1ea0fba4-af3c-4b20-96d4-eb9a0e324bf1,22.515625,6
45,ed479ea1-1dbc-4dd0-84b3-46cfdc1a9d67,22.515625,7
45,43627c1b-45da-42e1-8e28-928980a5707d,22.515625,8
45,3a573af7-d538-4d80-82f4-cb85c98f0fe5,22.515625,9
45,2829cf7d-a3c2-486c-8925-bdb629d3e765,22.515625,10
51,8558a896-91dd-49a4-8fd7-92e868aebd05,21.375,1
51,ba2abaeb-6c98-4578-a349-d2c25f6b5983,21.140625,2
51,0dbf2747-2459-4021-8d61-39e1ce298193,20.796875,3
51,a08ff0f4-5a05-4866-8065-ae70500ece92,20.21875,4
51,ba72ad13-5ad8-40f4-a83c-4c3743c7fade,20.125,5
51,5c615aac-2089-4755-85cc-e43cd6d25f3f,19.671875,6
51,bcb428a0-954a-4e57-b4a0-1a3841652509,19.3125,7
51,0e283e68-7639-41af-8183-7e1d40c04d72,19.09375,8
51,453e597e-cb53-4fc9-86a7-d9e73b68de1d,19.0,9
51,a12e32bf-d898-44df-944b-e44585d0a80f,18.84375,10
52,8f14fafe-f5eb-461e-a0e1-69ff91d09661,20.03125,1
52,d0236f00-720e-4f9a-acd9-d8a9a39cc7b2,19.703125,2
52,2b4a52cb-b1d9-4f8a-bf71-c12fca6b0ff7,19.4375,3
52,0471f457-e64f-4fdd-9815-b889f4643b97,19.109375,4
52,4df4e85c-fd6e-4080-ad46-fc8c21030f63,19.015625,5
52,08c707de-23a6-4354-ad9c-a8a1f817b4a1,19.0,6
52,a0d502c7-6cc8-4337-984c-2b0656b1e537,18.96875,7
52,604e3cfc-cc26-4e88-a4bd-ee03eebc484d,18.859375,8
52,fbae1f08-845d-43a6-9646-2e2541966bbc,18.734375,9
52,16409f6f-64a6-4a38-82de-81fa36285c48,18.703125,10
53,abb4ec05-bbf8-4728-9e51-4cd715eca260,21.125,1
53,6b8a683d-2cfe-4385-a459-e9157ccd6a6a,20.75,2
53,5cd8763c-f1b4-4172-abb2-240ed360ffdc,20.53125,3
53,b79c285c-a135-468d-bc9d-bccd23d238ee,20.34375,4
53,a2473669-a99d-4475-93e4-0a0a91b02253,20.171875,5
53,84c01525-28d4-4229-979e-8ee529276f9b,20.03125,6
53,ec501e68-61e9-4f16-8604-f05e4d2482e5,19.953125,7
53,ddbc372d-5131-4fb5-9c34-cbbea7164caa,19.921875,8
53,95ad19b1-9656-426e-a423-6b83d9d1a5ab,19.875,9
53,75907b4d-f183-4a2a-8e5b-b95e907121bf,19.765625,10
54,ece8b3e9-6df9-4bd4-9b7c-c5f4d85b6f1e,19.203125,1
54,5c3776cd-2eb1-4f19-ad17-b79128dccdcb,19.203125,2
54,c944c725-e261-43f1-b7ad-5058db2a80b6,19.203125,3
54,f2697fb0-caa5-4396-8883-6ac40062106c,19.125,4
54,50e2bac6-0e3f-4ea8-b326-2fa4ed3eb774,19.078125,5
54,643e13ba-4fed-464f-b587-dcb4a1834642,18.9375,6
54,062dd59a-eb6d-48fa-ac0c-19a86236bd65,18.9375,7
54,36249175-6cc8-48bc-82e3-f9c892f0b122,18.921875,8
54,7f5fad8b-9470-40b9-b191-48e4f9ed138b,18.921875,9
54,3d82fb70-bb82-4ebc-9c52-dc72de18954f,18.921875,10
55,558a2727-34dc-4864-a94b-d5aef1935475,22.421875,1
55,7b88880b-1e20-49b9-bcf1-f5f50cdf8103,22.203125,2
55,1c0eeeaf-5114-4bdc-bd56-30f811959851,21.84375,3
55,a045dbc4-07a2-46e7-ae3c-5d51b63a7947,21.796875,4
55,75d985d6-f04f-42a0-a2d1-d6b743363acb,21.59375,5
55,80451ce0-89f6-41bd-aff0-f029d8d18df8,21.46875,6
55,76efb0a5-624a-4d8b-af26-92a4b421d9a1,21.328125,7
55,b602b704-9230-4afa-8fda-fd9774d6cdc9,21.21875,8
55,ef62bd96-8d10-4a1d-a1a9-e7244d932461,21.171875,9
55,ebf31e9d-da54-42de-9e1b-4c8f6a4ae954,20.921875,10
57,ae2834ae-f2b2-4d47-a0d8-91671688a7a0,19.1875,1
57,28314661-7d99-4069-aacc-add120fa0fea,19.1875,2
57,01b5875a-26bd-4a35-b7b0-fbe76d5aefae,18.96875,3
57,d64e662a-17c1-4d6d-9b90-9cd819f9b3ac,18.890625,4
57,478fa25e-2591-4a28-bd91-96d4bf867a41,18.859375,5
57,953d17eb-fb11-4703-b0bf-d5124f98fca2,18.859375,6
57,20470215-e8c3-49e4-8efa-47c4b9ee9cd9,18.84375,7
57,42030847-d272-4cef-8ea4-1ffc81bb5f55,18.828125,8
57,223502a4-c7fc-4b5c-a4ea-9082f40fa47f,18.8125,9
57,cd2d966b-e129-4de8-bb62-4f9e625dacdf,18.78125,10
58,6555a733-c7b7-422a-84bd-566b7072fe05,19.0,1
58,032a25d5-6db7-4d46-a245-1c8172c182ce,18.84375,2
58,4d398b39-5f71-4d55-a40f-ec7b0cad1def,18.8125,3
58,3f568c89-c99f-407a-b517-5473624e2a7d,18.765625,4
58,70ffc9d8-6b5e-4338-bfce-dae53e632240,18.671875,5
58,437a7a03-863e-448d-afbd-0fd1c5f0ba41,18.65625,6
58,41295da1-b22d-49f5-a632-88b9a1b5f13f,18.515625,7
58,87eb685c-6a2c-4269-8dc3-dcfdb5c61680,18.296875,8
58,d3779e8f-0e8b-4135-9d9b-2dd2323799e7,18.15625,9
58,9fb9e408-d17e-4948-a087-a4c34b9e0de4,18.0625,10
59,dacf8acd-1926-447a-8efe-ae08b3df8e02,18.765625,1
59,7e3690c2-8f72-487a-9c3b-223f926992e5,18.609375,2
59,075d491d-f676-473a-88d6-c0311606b83a,17.59375,3
59,8fa54bf8-7529-4048-87f3-d63fde388505,17.390625,4
59,d61d357c-c21a-4520-bb14-3234f3a86976,17.1875,5
59,a4e4c904-b49b-4a8b-9134-4e30f3f363e5,17.03125,6
59,2da7b1e9-211c-47a4-9ddc-c67d0b02f3ed,17.0,7
59,96761ac7-aac6-46ea-abfc-561e491d0fb6,17.0,8
59,4bee4e5d-ff1d-4734-8480-250ee109608b,16.8125,9
59,02dd3e1f-abfd-4506-bb20-9e203e170e48,16.78125,10
62,f110881b-c2e7-4f81-bc0c-82f554c2e853,21.640625,1
62,7b88880b-1e20-49b9-bcf1-f5f50cdf8103,21.390625,2
62,dacf8acd-1926-447a-8efe-ae08b3df8e02,19.78125,3
62,3a0672d4-6b72-441d-a1c1-f9f66ce5cc9c,19.078125,4
62,a77be433-36e6-4f94-9d08-29f45ded4b8d,18.953125,5
62,e1ff79a5-765b-4f89-b881-5d7c04f87d90,18.953125,6
62,d7faa990-bfb2-4a69-9053-d3af71ddfa9d,18.875,7
62,d7dc887d-5482-484a-a4cf-62b9f47187a3,18.78125,8
62,19e6ec2c-f9d6-4434-b197-27529922eeb7,18.5625,9
62,fe203b4e-839a-437d-9034-bac2c1c7486c,18.453125,10
