qid,docno,score,rank
1,e6ab23e9-9d83-4c75-92e7-445db55795f4,20.09375,1
1,e73352dd-1e4d-4c84-a368-3523c106006c,19.984375,2
1,a02f16a3-36bd-4d2d-8b27-2214aa80c52a,19.796875,3
1,aec9894f-ddf0-4f2c-be29-390269c615f2,18.203125,4
1,99a1228d-b8ec-4462-9cfb-8b6e9bd4587f,17.53125,5
1,ee901ea9-bc23-4895-a924-9cb906902b1f,17.421875,6
1,b0a4bf6d-bc6a-464f-9c36-ccd40d7c0899,17.3125,7
1,bf6e0763-89a3-42c4-9f53-fab1c0331831,17.25,8
1,fddb9dfc-a005-4592-a192-74448e5c75d9,17.140625,9
1,e5f361a5-6602-495d-992b-d3030cc2302b,16.515625,10
8,37937575-3672-48c1-8e6e-dd7b707326a1,23.421875,1
8,168d91f7-524e-4e36-9e55-7476c093886b,22.640625,2
8,c5b6568a-8225-44c5-8d54-b9962c702952,21.65625,3
8,9df24203-084e-49ef-a9e4-87834645688d,21.640625,4
8,e7bfeac4-f43c-4fbb-a745-b4838bd36a3a,21.390625,5
8,64eed7aa-f789-4194-812c-a5030118b6d1,21.1875,6
8,0b96cfe2-78b9-4a1b-802a-bd00ff858d52,20.890625,7
8,c8ecc612-3d78-40dc-9292-ee8f9713752c,20.734375,8
8,3c254ce4-ffde-4afc-95dd-de88d8cd489e,20.40625,9
8,0bbeb407-f073-4eab-953c-65e9d12d2b8b,20.3125,10
22,3f9129b4-d3dc-45a7-882d-a072146f2848,26.4375,1
22,1e619e7a-bd5e-4a2a-ad14-4e0197c7c6b6,26.4375,2
22,d759279e-6d2e-47d9-a63b-cc981af46d51,26.359375,3
22,6f12a8af-bed2-4e8a-b56e-beb9e6c78476,26.3125,4
22,6ea78f11-9677-4ccd-a89c-16dbf53b929e,26.203125,5
22,581bd5fc-aeef-4556-8a85-de2c8278bd2f,26.15625,6
22,1a9ad7cb-345f-4964-adc3-cfb3994c5da6,26.125,7
22,d1618ddb-198c-4b9a-a33b-b9e8bdf6c394,26.078125,8
22,01f617ac-9919-44fe-8fc8-2db9ff72b5e7,25.875,9
22,4aa2653e-ab5d-4ace-a1a1-a923fefec07a,25.828125,10
35,ede2e34b-4d8c-4243-813d-83be732d99fc,24.578125,1
35,74c382e8-098c-4253-b573-a0b989cbb46c,23.0625,2
35,9ee82bf3-ec23-4b4c-9598-5c0b5883f578,22.65625,3
35,17789d0d-5cc0-456d-9722-7ef71eb8c35a,22.546875,4
35,5fdf085d-b0b0-4b8c-8e77-8cba2b211662,22.390625,5
35,d093a04d-ecf8-4fd8-a4ca-e717aa6b5127,22.046875,6
35,c9a2ac9f-d844-41b8-98f7-0b60afab7acd,21.640625,7
35,c3884848-b0d3-447b-8278-43403241a9ff,21.609375,8
35,d7dc887d-5482-484a-a4cf-62b9f47187a3,21.5625,9
35,5664d545-70d6-43c7-a9b2-5ccce9f4dd10,21.359375,10
45,0773c6da-3a4b-42aa-8c44-77c9e207ccdf,23.59375,1
45,1557147e-acb5-4465-9197-c8cfe937af47,23.53125,2
45,8182ce91-0082-402f-97e3-eec818cf951d,23.375,3
45,54128df3-5b0d-4981-afcd-89e834d3f8db,23.234375,4
45,ffa5a018-effd-4478-9320-63bbd0a43e4d,23.140625,5
45,1cc2d142-9499-4770-82ae-816108994dd9,22.96875,6
45,a03b6fba-1a0a-489d-b258-3ec1639f8562,22.703125,7
45,e7eefaea-13ca-45ba-b752-fec4845e9ab0,22.1875,8
45,04e7c085-f16a-4940-9d4f-f877f5644d56,22.125,9
45,6280bbf1-d417-436f-b3f9-13aa6d71e63f,22.125,10
51,5c615aac-2089-4755-85cc-e43cd6d25f3f,23.1875,1
51,c17049e3-be73-4f52-bfc2-6b6101f963cf,22.6875,2
51,ba72ad13-5ad8-40f4-a83c-4c3743c7fade,22.65625,3
51,e64aa8a2-f5e5-4a3a-980a-eb2e3ec98c42,21.5,4
51,a279a658-01dc-4f8a-ba52-6d900979e1fa,21.453125,5
51,6498c018-5dee-4196-b596-c2ac253733d8,21.421875,6
51,5a2249f9-6c1f-4532-88a6-7788afe4deb3,20.890625,7
51,63cdefc6-15cf-46a5-9248-82b0cf20cda0,20.8125,8
51,e6a51638-1bb9-4ab8-a7bd-40e5ede97dd7,19.765625,9
51,054e437d-d6e2-4b56-a336-45212547772c,19.4375,10
52,0c18fe0c-036d-4c44-a8eb-395a6e79d2d2,20.921875,1
52,7ada5eea-5fbb-4b2c-a97f-ec7179cc1867,20.265625,2
52,a12f2ab5-92d8-4d41-a023-d4607fe5bfdb,19.765625,3
52,e6ab23e9-9d83-4c75-92e7-445db55795f4,19.578125,4
52,0471f457-e64f-4fdd-9815-b889f4643b97,19.484375,5
52,d5732fcb-679c-4872-a4bf-c3a68e2ff154,19.46875,6
52,bf6e0763-89a3-42c4-9f53-fab1c0331831,19.421875,7
52,be80a3bc-8128-4222-af75-cd62c42ff581,19.40625,8
52,ebaf5350-ed5e-40f1-ab94-29455c7e28ae,19.375,9
52,625a6951-cc92-4734-9444-b251fbcc1b97,19.375,10
53,4f23a93c-dc6f-4797-84bb-31802a06ef35,25.03125,1
53,62e65b29-1a60-43b9-a1cd-4cde25e838e6,25.03125,2
53,a8a2621f-ae91-4982-bb83-0dcc2917129b,23.90625,3
53,fab1f6cf-1973-4a23-b6c5-edb3e4c10d1d,23.90625,4
