qid,docno,score,rank
102,ac6af937-150b-46a3-967e-039c16aad4ec,19.90625,1
102,d61d357c-c21a-4520-bb14-3234f3a86976,19.828125,2
102,c93f2616-e409-4f05-8b43-9f75b916d083,18.953125,3
102,17c0ca2e-cea8-4f64-bb80-8364305f20b3,18.65625,4
102,5004b5fd-64fa-47ed-951d-950c6467a33a,18.640625,5
102,4bdb1268-d04f-49ff-ab3e-dc9b254196b4,18.625,6
102,f178c0c9-7ea6-455f-9602-87fc43ad6899,18.625,7
102,af5b562a-3b62-4bbb-b21c-1ac7b2ec3b05,18.203125,8
102,c4b6e32b-4e1d-4bc5-8cc4-7757078af762,18.015625,9
102,9cd46d2e-fb82-4976-813f-c8ad4b9caeaa,17.90625,10
102,603b4cd4-a2f2-44a0-a978-aff361852abf,17.328125,11
102,8a1e3317-a857-4e18-988a-2fd8f448d892,17.25,12
102,7f847843-976c-4c28-8d4b-0e22d0e9bf96,17.234375,13
102,20faf7bb-4d48-41d6-bd5f-8caf422990da,17.0625,14
102,105a9de7-d372-4139-9dc3-da301d1b07dc,16.828125,15
102,58e447f0-ee14-4194-9d3d-6f683851e39e,16.4375,16
102,a5c158ff-0282-4679-be8d-c8e22a933cd6,16.265625,17
102,22dc8fce-2156-4cd5-9d05-edcba98480b4,16.015625,18
102,5d110d86-476b-4e4b-91db-978249953e36,15.921875,19
102,3fb9ede1-fd7a-4d67-9218-d82fc39d8b83,15.34375,20
102,177a894f-a4ac-456c-b230-504484c27a5a,14.90625,21
102,e6537799-7db7-42cd-aaa4-77bf73df3568,14.8046875,22
102,44ec6d05-6a4d-4488-a77a-fd0dfb793f04,14.4296875,23
102,85be9825-0066-42f8-9e8a-7a7f072d7a61,13.671875,24
102,790d44b3-3bd0-4fbb-80ff-93f7d24c15f5,13.640625,25
102,c941f09a-4d2d-411f-8f08-c66c13a9fa2c,12.828125,26
102,b602b704-9230-4afa-8fda-fd9774d6cdc9,12.6875,27
102,462068d4-4217-484f-a7de-b8ad699f3eb0,12.4609375,28
102,2c98aeea-66d3-45cf-8162-6645e9084c0e,12.3515625,29
102,6d28f845-0e4a-425f-878f-52467900f544,9.9375,30
102,360405f0-b5f7-4542-9fd0-fa1b22ead7db,9.8828125,31
102,271b64ea-834e-4490-b539-3fd1f2706605,8.90625,32
102,16aa9a9a-d0ef-47ed-8c3b-2d8c915a858c,8.90625,33
102,558a2727-34dc-4864-a94b-d5aef1935475,8.765625,34
102,acbd9d1e-0ddf-4e9d-9a84-57925dbd2dd5,8.6875,35
102,7e0be152-82e9-4915-9458-dfcb2f2db0d2,8.5859375,36
102,006ae955-1c65-4aa3-9ab1-044a7068bad0,8.03125,37
102,4170468d-3c4a-4ba0-94bf-1bf2c3cec1fb,7.91796875,38
102,4e77346d-949e-4120-b991-5e0697ce0508,7.16796875,39
102,ebf31e9d-da54-42de-9e1b-4c8f6a4ae954,6.83984375,40
102,7de2f628-9b5f-4be7-84a3-2812574cb491,6.47265625,41
102,091ae856-4cfe-401c-ba00-44e851e52172,6.28515625,42
