qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nComplete Answer:",Chronic diseases are diseases that affect the body and its systems. They can be grouped into three groups:,Chronic diseases are common conditions that affect the body and society.,Chronic diseases include:,"Chronic diseases, also called chronic diseases, are conditions that can affect the body in a number of ways.","Chronic disease is a term used to describe any disease or condition that lasts for a long time, either for the individual or for the whole population.","Chronic conditions include diabetes, heart disease, diabetes mellitus, high blood pressure, obesity, inflammatory bowel disease, COPD, stroke, prostate cancer, and many others.","Chronic diseases include heart disease, cancer, diabetes, and many others.",Chronic diseases are conditions that have a negative impact on the society and the individual.,Chronic diseases are the most common causes of death in the world.,"Chronic diseases are medical conditions that last a long period of time and have serious consequences for the individual, society, and the nation."
8,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: best apps daily activity exercise diabetes\nComplete Answer:","Diabetes: Keeping Track of Your Exercise, Getting Motivated - Daily App","iFitnessPal: Track your daily activity, exercise, and diabetes using this app.","Apps for daily activity, exercise and diabetes",Diabetes: apps for daily exercise exercise for diabetes:,"Apps for daily exercise, exercise app for diabetes","Diabetes can be managed through lifestyle changes, such as regular exercise, diet, and medication.",Diabetes : Glucose meter,"Exercise Apps for Daily Activity, Exercise, and Diabetes","Apps for daily exercise, exercise and diabetes","Daily Activity App - for exercise, daily exercise, and diabetes"
22,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: my risk for developing type 2 diabetes\nComplete Answer:",Type 2 diabetes is a condition in which the body cannot effectively process glucose.,Type 2 diabetes is caused by an increase in blood sugar levels.,Type 2 diabetes is caused by an increase in the amount of satiety hormones produced in the pancreas.,"Type 2 diabetes is a condition characterized by high blood pressure, insulin resistance, high cholesterol, and elevated triglyceride levels.",Type 2 diabetes is caused by increased levels of polyglycerol in the blood.,"Type 2 diabetes is a disease that develops in people who are overweight, are obese, and who have high blood pressure.",Type 2 diabetes is a condition where the body does not produce enough insulin.,Type 2 diabetes is a condition that occurs in people who are overweight or obese.,"Type 2 diabetes is the most common cause of death in adults, resulting in an estimated 1,220,000 deaths worldwide.",Type 2 diabetes is a disease of the pancreas that affects approximately one in seven people
35,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Is a ketogenic / keto diet suitable for people with diabetes?\nComplete Answer:",A ketogenic / keto diet is a type of low-carbohydrate based diet.,"Yes, ketogenic / keto diet is a healthy and low glycemic diet that can lower blood glucose.",ketogenic diets are considered to be healthy and do not harm the body.,It is not recommended for people with diabetes.,"A ketogenic diet is low in carbohydrates, which are used for weight management.",Diabetes mellitus is a condition in which your body does not process carbohydrates properly. It is a form of metabolic disease.,Is the ketogenic diet safe for people with diabetes?,"Yes, a ketogenic diet is considered healthy for people with diabetes.",ketogenic diets typically are not suitable for people with type 2 diabetes.,Yes. A ketogenic diet is a low-carbohydrate diet. It is not recommended for people with diabetes.
45,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can diabetes be cured?\nComplete Answer:",It is impossible to cure diabetes.,"Diabetes can be cured by diet, exercise, and the right type of medication.","Diabetes is caused by the breakdown of cells and sugar in the blood, which cannot be cured.","Diabetes is caused by the body's insulin resistance, which is to say, it's the resistance to sugar.","Diabetes can be cured by a variety of lifestyle changes, including avoiding sugars and refined carbohydrates.",Diabetes is a disease that cannot be cured.,Diabetes is a progressive condition and can be fatal.,"Diabetes can be cured with diet, exercise, and medication.","Diabetes is a disease that can be prevented or controlled with medication, lifestyle changes, and lifestyle changes to eat a healthy diet.",Diabetes can be treated with medication.
51,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What is holistic medicine and what does it include?\nComplete Answer:","holistic medicine consists of all forms of integrative medicine, including herbs, physical therapy, yoga, acupuncture, hypnosis, reiki, bio-identical hormone treatments, tai chi, meditation, and relaxation techniques.",holistic medicine is the practice of applying a diverse range of holistic approaches to health care.,holistic medicine encompasses a range of practices that address the whole person.,"holistic medicine includes alternative medical treatments, including the use of natural remedies and acupuncture.",holistic medicine includes the following:,holistic medicine is the use of various modalities that integrate diverse healing modalities.,holistic medicine includes the use of alternative therapies and practices to heal and maintain health.,"holistic medicine (HMO) is a holistic health approach, which includes the use of complementary and alternative therapies.","holistic medicine (or 'eclectic' medicine), or the healing arts, focuses on restoring, regenerating, and energizing the body and mind through natural, non-invasive therapies.",holistic medicine is an approach to health that includes combining traditional medicine with modern therapies and philosophies.
52,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nComplete Answer:","Symptoms of mental health problems include anxiety, depression, bipolar disorder, schizophrenia, bipolar disorder, bipolar disorder, panic disorder, obsessive-compulsive disorder, psychosis, substance abuse, and other disorders.","There are three most common mental health problems: anxiety, depression, and bipolar disorder.n","Mental health problems include:nUnderstand the difference between mental illness and mental health problems.nIdentify the most common mental health problems in children and adolescents.nCognize the signs of mental illness in adults.nAvoid alcohol, tobacco, tobacco products, and other unhealthy choices.nConsider quitting smoking.n",The most common mental health problems are: Affective Disorders and Mental Health,Mental health problems include:,"Mental health disorders include:br>Attacking stress and anxiety.br>Depression.br>Asthma.br>Focus on self.br>Exercising regularly.br>Stressful living.br>Obsessive-compulsive disorder.br>Training.br>Of course, there are many more disorders.br>These include:br>Bipolar disorder, also known as Borderline Personality Disorder (BPM).br>Idioma, also known as Major Depressive Disorder.br>","Mental health problems include anxiety, depression, bipolar disorder, schizophrenia, post-traumatic stress disorder, social anxiety, eating disorders, bipolar disorder, schizophrenia, chronic pain, and bulimia nervosa.","The most common mental health problems are: Anxiety, Depression, Panic Disorders, and Traumatic Brain Injury (TBI) .","Most common mental health problems include:nObsessive-compulsive disorder, including: Anxiety, depression, and bipolar disordernStress, including:nAlzheimer's disease, including:nAttitudinal disorder, including:nnBipolar disorder, including:nnnAlzheimer's syndrome, including:nnnnn","Mental health issues include anxiety, depression, psychosis, and addiction."
53,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: what is psychotherapy?\nComplete Answer:",Psychotherapy is a type of mental health treatment involving the use of cognitive-behavioral therapy and dialectical behavior therapy.,Psychotherapy is the study of the relationships between individuals and groups of people.,"Psychotherapy, also known as psychoanalysis, is a form of interpersonal therapy.",Psychotherapy is the study of interpersonal relationships and their impact on individuals and groups.,Psychotherapy is a form of psychotherapy that deals with feelings of distress or anxiety.,Psychotherapy is a method of psychological treatment that uses cognitive-behavioral therapy (CBT) to help people overcome psychological disorders.,Psychotherapy is a technique used to help people deal with psychological problems and disorders.,Psychotherapy is the study or treatment of mental illness.,"Psychotherapy (help to solve problems) is the process of understanding and overcoming difficulties and emotional states, typically through psychotherapy.",Psychotherapy is the treatment of mental illness or psychological disorders involving the use of psychotherapy techniques.
54,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What does multiple sclerosis diagnosis include? What does it change?\nComplete Answer:",Multiple sclerosis is a neurological disorder that affects the brain.,"Multiple sclerosis can lead to the progression of multiple disorders. Commonly, MS is diagnosed as an illness characterized by the presence of several degenerative disease processes.",Multiple sclerosis diagnoses can include:,Multiple Sclerosis is a disease in which the nerves supplying the brain and spinal cord are damaged.,Multiple Sclerosis includes a variety of symptoms.,Multiple sclerosis is a disease characterized by multiple lesions on the brain and spinal cord.,Multiple sclerosis includes the following conditions:,Multiple sclerosis is a disease in which the brain has no control over movement.,"Multiple sclerosis is a neurological condition that causes muscle weakness and stiffness, usually in one or both legs. Its symptoms include:","Multiple sclerosis (MS) is a disease that affects the brain, spinal cord, and spinal nerves, causing the patients to have vision impairment, deafness, blindness, and paralysis."
55,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: How to manage multiple sclerosis?\nComplete Answer:","Multiple sclerosis is an autoimmune condition that affects nerves and muscle. It is difficult to treat, as it is very progressive and affects the immune system.",Multiple Sclerosis is a progressive progressive neurological condition.,"Multiple Sclerosis is a condition in which the nerves that supply the brain with blood and oxygen are damaged. The brain's cells die, leading to paralysis and weakness, and death.",Multiple sclerosis is caused by damage to the nerve fibers that supply the brain with oxygen.,"Multiple sclerosis is a progressive condition that progresses slowly over time, with the progression being most likely to happen as the disease progresses.",Multiple sclerosis is a progressive disease requiring treatment.,Multiple sclerosis (MS) is a condition in which the spinal nerves control the movement of the spinal column.,Multiple sclerosis is caused by mutations in the MS gene.,Multiple sclerosis can be treated with medication.,Multiple sclerosis is caused by damage to the inflammatory cells of the nervous system.
57,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: multiple sclerosis stages phases\nComplete Answer:",The first stage of multiple sclerosis is progressive and has many different phases.,"Multiple Sclerosis is the first stage of the progressive process of MS, and it lasts about 10 years.","Multiple sclerosis is classified into four stages: clinical, clinical, immunologic, and surgical.","Multiple sclerosis is a disease of the nervous system that causes progressive disability and may affect the entire body. It is classified into four stages: atypical, relapsing, progressive, and early-stage multiple sclerosis.",Multiple Sclerosis is classified into four stages:,Multiple sclerosis is a progressive condition that affects the body's immune system and the nervous system. It has three stages:,"Multiple sclerosis occurs in three stages: stage I: progressive disease that progresses gradually (usually four to six months), stage II: disease that progresses slowly, stage III: disease that progresses slowly, stage IV: disease that progresses rapidly, stage (5): disease that progresses rapidly, stage (6): disease that progresses slowly, stage (7): disease that progresses rapidly, stage (8): disease that progresses rapidly, stage (8): disease that progresses gradually",Multiple Sclerosis Disease is classified into four stages.,Multiple Sclerosis is a condition in which the progression of the disease takes place over the course of several stages.,Multiple Sclerosis Disease has 4 stages:
58,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Risk to develop multiple sclerosis\nComplete Answer:","Multiple sclerosis is a progressive disease that affects the brain and spinal cord, and has no known cure.","Multiple Sclerosis is a progressive disease, usually developing in people over the age of 50.",The average risk for developing multiple sclerosis is 3 to 6 years of age.,"Multiple sclerosis is caused by the axonal branch of the immune system attacking the inflammatory cells in the brain, which causes the immune system to attack the cellular immune response, thus leading to the development of multiple sclerosis.",Multiple sclerosis is caused by damage to nerve cells called synapses.,Multiple sclerosis is the most common form of multiple sclerosis in the United States.,"Multiple sclerosis, also called progressive multiple sclerosis, is a disease caused by damage to the nerves that supply the brain with messages from the spinal cord.","Multiple sclerosis is a disease in which nerves within the brain contract, causing the brain to permanently damage itself.",Multiple sclerosis can be dangerous if left untreated.,Approximately 1 in 4 people who are born in the United States are at risk for developing multiple sclerosis.
59,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: long-term effects likelihood multiple sclerosis\nComplete Answer:",Multiple sclerosis is a progressive condition resulting in disability over a lifetime.,Multiple sclerosis is a progressive and often fatal condition.,Multiple sclerosis is caused by damage to the synapses within the spinal cord.,Long-term effects of multiple sclerosis include motor and cognitive impairments.,"Multiple sclerosis has a long-term effect on the brain. The longer it is left untreated, the more damage it may cause.","Multiple sclerosis is a progressive neurodegenerative disease that can cause permanent disability, death and paralysis.","Multiple Sclerosis (MS) is a progressive and incurable neurodegenerative disease that causes lasting disability, especially in the brain and spinal cord.","Multiple Sclerosis (MS) can lead to a number of long-term problems including debilitating cognitive and physical impairment, including those related to the movement and coordination of parts of the body.","Multiple Sclerosis occurs when an autoimmune disease, such as multiple sclerosis, attacks the nerves that supply the spinal cord and spinal nerves.",Multiple sclerosis is a progressive disease that has a low prognosis.
62,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: disclosing multiple sclerosis at work, how will colleagues react?\nComplete Answer:","Typically, colleagues will show concern and concern.",Disclosed MS can be a scary occurrence and can lead to isolation.,"In a workplace setting, people are more likely to be supportive of the individual with MS than others.",People will feel less empathy toward you if you tell them you have MS.,Disclose your multiple sclerosis to your co-workers by pointing it out.,Disclosed MS can cause stigmatizing repercussions in the workplace.,"When colleagues are aware of MS, they will be more willing to help you than when they are not aware of MS.",People with MS are less likely to be supportive than others.,"If it's a new person, you'll be expected to be quiet and confident.",Confidence in the doctor
63,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Will multiple sclerosis affect my career?\nComplete Answer:",Multiple sclerosis is usually a short-term condition.,"Multiple sclerosis can lead to difficulty with movement, including walking, standing and balance.",Multiple sclerosis is not a career limiting condition.,Multiple sclerosis can impair the ability of the person to perform his or her job duties.,Multiple sclerosis will require physical therapy and a combination of therapies.,Multiple sclerosis can cause permanent disability.,Multiple sclerosis can have a negative impact on your career.,"Multiple sclerosis can affect the ability to think, work, and learn.",Multiple sclerosis is a condition that affects the brain and nervous system.,Multiple Sclerosis can affect your ability to work and lead a fulfilling life.
68,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: List of multiple sclerosis symptoms\nComplete Answer:","Multiple sclerosis is a progressive progressive illness that affects the nervous system, with symptoms ranging from mild to severe.",Multiple sclerosis is a condition in which the brain and spinal cord become damaged due to damage to nerve fibers.,Multiple sclerosis is the name given to the following conditions:,Multiple sclerosis is a progressive and debilitating condition characterized by neurologic changes in the brain.,Multiple sclerosis symptoms include:,"Symptoms of multiple sclerosis are marked by pain and stiffness in the legs, hands, and arms.",Multiple Sclerosis (MS) is a progressive disease caused by damage to the spinal nerves in the brain.,"Multiple Sclerosis Disease (MSD) is a rare, debilitating disorder characterized by progressive, sometimes fatal, disease. The MSD symptoms include:","Multiple sclerosis is characterized by progressive degeneration of the brain, spinal cord, and nerves.","Multiple Sclerosis (MS) is the progressive and often misunderstood disease characterized by progressive stiffness, weakness, and vision problems."
72,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?\nComplete Answer:",Covid-19 vaccine has not been shown to interact with multiple sclerosis drugs.,Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?,Covid-19 vaccine has not been approved by the FDA for use in people with multiple sclerosis.,Covid-19 vaccine is usually safe for people taking multiple sclerosis drugs.,"Covid-19 vaccine is safe for people taking MS medications, including anti-inflammatory medications.",Covid-19 vaccine is not recommended for people taking multiple sclerosis drugs.,Covid-19 vaccine is generally not safe for people taking multiple sclerosis medications.,Covid-19 vaccine is not approved for people with multiple sclerosis and is not recommended for people who are taking any of the following drugs:,Covid-19 vaccine is not approved for multiple sclerosis.,Covid-19 vaccine does not appear to be safe for people with multiple sclerosis.
77,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: How do menopause symptoms relate to multiple sclerosis symptoms?\nComplete Answer:","Menopause is a time when women stop menstruating, causing menstrual irregularities and hormonal changes. Multiple sclerosis is a condition characterized by progressive stiffness in the joints, stiff necks and tense muscles.","Menopause, also known as perimenopause, is an era that begins in women and typically lasts until the age of 50.","Menopause is a stage in the life cycle of the female reproductive system, in which hormonal changes occur that cause hormonal changes in the body.","Menopause is the point during which menstruation stops, causing a pause in hormone production that causes menstrual cramps.","Menopause is the beginning of the menstrual cycle. The symptoms of the menopause can vary in frequency, severity, and duration.",Menopause and multiple sclerosis are common symptoms that share many of the same biological causes.,Menopause symptoms and multiple sclerosis are often related to the menstrual cycle.,"Menopause symptoms are usually experienced in women between the ages of 25 and 55, while multiple sclerosis symptoms typically occur in people between the ages of 65 and 79.",Menopause is a time of hormonal changes in the body that occur during menopause.,Menopause is the point at which women stop menstruating. Multiple sclerosis symptoms are associated with the menopause.
79,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can I pass multiple sclerosis to other family members?\nComplete Answer:",Multiple sclerosis is genetic.,Multiple sclerosis can be passed from a parent to a child.,Multiple sclerosis is a disease that affects the spinal cord.,Multiple sclerosis is caused by the genetic mutations in MS.,Multiple sclerosis is a progressive disease that affects the nervous system.,Multiple sclerosis is a disease that affects one in three people and is a genetic condition.,"Multiple sclerosis is an acquired condition, so anyone with the disease is more likely to pass it to a member of their own family.","Multiple sclerosis is a disease that results from mutations in the myelin sheath, which causes myelin to become damaged, or from damage to the nerves in the spinal cord.",Multiple sclerosis can affect any of your family members.,Multiple sclerosis is a disease that is passed from parents to their offspring.
81,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can I work and study full-time with multiple sclerosis?\nComplete Answer:","Multiple sclerosis is a disease that affects the nervous system, resulting in impaired motor function and difficulty in concentrating.",Multiple sclerosis may make it difficult to work and study full-time.,Can work and study full-time with multiple sclerosis?,Multiple sclerosis can impair the ability of the individual to work and study.,Multiple sclerosis is a progressive disease that affects the nervous system and brain. It's a very serious condition that can require long periods of time off from work.,Multiple sclerosis has a very limited range of motion. The disability of the disease makes it extremely difficult to work or study.,"Multiple sclerosis is a progressive neurological condition that affects the nervous system, so you can only work full-time with a therapist.","Multiple sclerosis is a progressive disease that can interfere with the function of the spinal cord, resulting in a disability and loss of mobility.",No. Multiple sclerosis affects the peripheral nervous system and is not life-threatening.,"Multiple sclerosis is a condition of the nervous system causing a progressive disability and may be exacerbated by certain medications, such as anti-cholinergic drugs."
