qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,Q: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nA:,chronic diseases have for the society and the individual,Chronic diseases are conditions that have long-term consequences for the organism and society as a whole.,Diabetes,Chronic diseases are the result of multiple factors that all affect the body in different ways.,br>,inflammatory conditions,"Chronic diseases are conditions that increase the risk of disease and can have a negative impact on individual, society and the economy.",Cardiovascular diseases Cardiovascular diseases include the following:,Cardiovascular diseases,Chronic diseases have the potential to affect a society as much as an individual.
8,Q: best apps daily activity exercise diabetes\nA:,Apps for Diabetes,Apps for Daily Activity,iAid,Diabetes,,MyFitnessPal,nDiabetes App Store,Apps for Diabetics,t,appstore
22,Q: my risk for developing type 2 diabetes\nA:,5–10%,can be increased by lifestyle changes,at a higher risk,8 to 10 years,is 25 to 35 percent,I have a family history of diabetes,is 80%,high blood pressure,44%,in adulthood
35,Q: Is a ketogenic / keto diet suitable for people with diabetes?\nA:,"A ketogenic diet is a low-carbohydrate, high-protein diet requiring small -to-moderate amounts of carbohydrates.n","Yes, it is very low in carbohydrates and high in protein.",It is highly unlikely that a ketogenic diet would be suitable for people with diabetes.,"The ketogenic diet is an extremely low-carbohydrate diet. Therefore, it is not appropriate for people with diabetes.","Diabetes is an autoimmune condition that affects the pancreas, so it cannot properly regulate blood sugar. Therefore, a ketogenic diet is the best choice for diabetes patients.","ketogenic/ keto diets are a low-carbohydrate, high-protein diet that eliminates carbohydrates.","A ketogenic diet is a low-carbohydrate, high-protein diet.",It is not recommended for people with diabetes.,"Yes, it can be used to control the type 2 diabetes, although it is not recommended for people with high blood sugar or hypoglycaemia.","However, a ketogenic diet does not remove sugar from the blood, so there is no need for diabetics to avoid it."
45,Q: Can diabetes be cured?\nA:,Diabetes is the most common cause of death and disability in the world.,Diabetes can be managed with the proper medication and lifestyle changes.,"The word ""diabetic"" is from the Latin word ""diabr"" meaning ""to die"" or ""diarrheal"". It is the third most common cause of death in the world, with obesity, high blood pressure, and high cholesterol being the most common causes.",Diabetes is the most common type of diabetic foot disease.,"Yes, it can be controlled.",Diabetes can be cured through diet and exercise.,Diabetes can be cured with medication and diet change.,Diabetes is caused by the release of sugars into the bloodstream.,"Diabetes can be treated with medication, diet and exercise.","Diabetes is a disease caused by the immune system attacking the cells of the body's pancreas. The pancreas is responsible for producing insulin, the hormone that controls blood sugar levels. Insulin is made by the pancreas and helps regulate the body's blood sugar levels."
51,Q: What is holistic medicine and what does it include?\nA:,"holistic medicine is the scientific study and practice of using a variety of alternative and complementary practices, including acupuncture, yoga, alternative medicine, bio-identical hormone therapy, and lifestyle modification.","holistic medicine focuses on treating illness using natural, alternative remedies that are based on the principles of a balanced, integrative approach to health.","holistic medicine involves a combination of conventional treatments, complementary and alternative therapies, alternative medicines, acupuncture, homeopathy, reiki, and yoga.","holistic medicine is the use of different approaches to health, often involving alternative therapies",holistic medicine (holistic health) is a natural approach to the treatment of conditions such as:,"holistic medicine, holistic health, or holistic care may refer to:","holistic medicine, also known as complementary and alternative medicine, is a practice that emphasizes promoting the overall health of the individual and promoting the general well-being of the community through a combination of conventional conventional medical treatments with modalities designed to promote optimum functioning of the body and mind.",holistic medicine is a type of alternative medicine that integrates a variety of approaches into the treatment of illness and injury.,holistic medicine involves the use of natural treatments that do not require drugs or surgery and which also can improve physical and emotional conditions.,holistic medicine refers to the treatment of a wide range of diseases and conditions involving a combination of conventional medical and alternative remedies
52,Q: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nA:,The most common mental health problems are:,Mental health conditions can affect all ages and come in all shapes and sizes. It is important to recognize what type of condition you are experiencing and how you can best manage it.,Identify and address the most common mental health problems.,Symptoms of a mental health problem include:,"For this question, we used the APA’s Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which provides information on the most common mental disorders and their treatment.",nThe most common mental health problems are:,"According to the Centers for Disease Control and Prevention (CDC), there are approximately 100 disorders that affect the brain. Mental health conditions include:","According to the US National Institute of Mental Health (NIMH), the most common mental health problems are:","As a result of an undiagnosed or undertreated mental health problem, people are more likely to suffer from it, and the number of people experiencing it is expected to increase over time.",These are some of the most common mental health problems.
53,Q: what is psychotherapy?\nA:,"Psychotherapy is a type of humanistic psychological research conducted by researchers in psychology, including psychiatrists, psychoanalysts, clinical psychologists, and psychologists.",Psychotherapy is a form of psychotherapy that deals with mental illness.,psychiatry,"Psychotherapy is a field in which the goal is to help people achieve and maintain psychosocial well-being, usually by assisting them in overcoming psychological disorders, including anxiety, depression, and personality disorders.","Psychotherapy is the study of the mental, emotional, and social effects of mental disorders.",Psychotherapy is the treatment of mental illness and is used to treat emotional disturbances.,Psychotherapy is the treatment of mental health problems.,"Psychotherapy is the study of mental health problems, including psychosis, the disorders caused by parental or societal influences, and the treatment of these issues.","The psychology of the individual, group or couple","Psychotherapy is an art and science, a psychological technique used for improving the functioning of individuals, groups, and society."
54,Q: What does multiple sclerosis diagnosis include? What does it change?\nA:,The disease is characterized by progressive degeneration and progressive disability.,Multiple sclerosis is a group of diseases in which the brain and spinal cord are affected by multiple disorders.,The symptoms of multiple sclerosis change:,a progressive relapse or relapse of an existing disease,"The disease can affect any part of the body, causing abnormal reflexes, vision, muscle tone, and mobility.",Multiple sclerosis is a condition characterized by the presence of multiple clumps of cells in the brain and spinal cord.,Symptoms include:,"Multiple sclerosis is a disorder characterized by progressive muscle weakness, stiffness, and weakness, and is thought to be caused by an imbalance of spinal nerves, which the body's own system does not control.",a disease-specific history of progressive progressive disability,Multiple sclerosis (MS) is a neurological disorder that affects the brain and spinal cord. MS occurs in individuals with certain genetic variants.
55,Q: How to manage multiple sclerosis?\nA:,"Medications (i.e., beta blockers)","For most people, MS is a normal part of aging. However, it can be challenging to get comfortable with the condition, and the more you get used to it, the harder it will be to manage.","You can use steroid creams, ointments, and topical treatments to alleviate symptoms and control inflammation.",It is recommended that the sclerosis be treated with medication or lifestyle changes.,It is important to work with your doctor to find out if you are experiencing any of these symptoms.,"In the beginning, multiple sclerosis can be treated with a combination of medications and physical therapy.","Sit down, relax and take deep breaths.",Be aware of the side effects of steroids and blood thinners.,The disease can be treated with medication.,"To manage multiple sclerosis, you should"
