qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,Q: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nA:,diseases involving the heart,a neurological disorder,HIV/AIDS,"arousal, leukemia, insufficiency and inflammatory diseases",(v),Chronic diseases,Respiratory disease,AIDS,Symptoms of chronic diseases,irradiation and infected with a virus
8,Q: best apps daily activity exercise diabetes\nA:,Best apps Daily activity exercise diabetesn,Best apps Daily activity exercise diabetes,Best apps Daily activity exercise diabetes,Best apps daily activity exercise diabetesn,Best apps daily activity exercise diabetesn,Best apps daily activity exercise diabetes,Best apps Daily Activity Exercise Diabetesn,Best apps Daily Activity Exercise Diabetesn,Best apps daily activity exercise diabetesn,Best apps Daily Activity Exercise Diabetes
22,Q: my risk for developing type 2 diabetes\nA:,can be overestimated,Is there a risk of developing type 2 diabetes?,risk of developing type 2 diabetes,0,risk of developing type 2 diabetes,Risk of developing Type 2 diabetes,",1 year",I had high levels of insulin,s1,Risk of developing type 2 diabetes
35,Q: Is a ketogenic / keto diet suitable for people with diabetes?\nA:,ketogenic / ketogenic diet,ketogenic / keto diets are not suitable for those with diabetes.,ketogenic / keto diet,ketogenic / ketogenic diet is a type of diet that works for those who are suffering from diabetes.,ketogenic / keto diet may be the best option for those with diabetes.,"ketogenic / keto diet is not a type of diet, but a high in sugar and glucosamine.",ketogenic / ketogenic diet,ketogenic / keto diet suitable for people with diabetes?,ketogenic / ketogenic diet is the most reliable treatment for diabetes and other chronic conditions.,ketogenic/ ketogenic diet
45,Q: Can diabetes be cured?\nA:,"Yes, there is no evidence of this in the study, though it is a very rare condition in which the risk is very low.",Can diabetes be treated with a steroid?,"Yes, dr. diabetes is the most common form of diabetes in children.",Can diabetes be prevented?,Can diabetes be cured?,"It is often the first time patients who have diabetes die from a disease that causes severe complications, especially when it is not treated with medication.",Can diabetes be cured?,Can diabetes be treated?,Can diabetes be treated with the treatment of cancer?,Can diabetes be diagnosed with a disease?
51,Q: What is holistic medicine and what does it include?\nA:,n,,n,a holistic medicine,holistic medicine,The holistic medicine is a practice that involves the medical and spiritual lives of people and their families.,n,n,holistic medicine,a holistic approach
52,Q: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nA:,"By putting two or three strips of clothing in a single basket, each of which contains one or more strips, then you can prevent them.",,Mental health problems,irradiation of anxiety and vomiting,"i.e., the most common mental health problems",Get your medication.,"Do not try to prevent or manage the most common mental health problems if you know how to prevent, or when you think you may be in trouble.","You may be able to use a regular medication, or simply take a medication.","If you do not have a medication, then it is better to prevent you from having problems.",How can I prevent or manage the most common mental health problems?
53,Q: what is psychotherapy?\nA:,Psychotherapy,psychotherapy,psychotherapy,Psychotherapy is a psychological therapy used to improve the immune system preventing an infection or injury from occurring.,Psychotherapy,psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy,Psychotherapy (hypnotherapy)
54,Q: What does multiple sclerosis diagnosis include? What does it change?\nA:,The disease causes symptoms of a chronic pain in the neck and stomach,sclerosis,multiple sclerosis,Multiple sclerosis,Multiple sclerosis,n,Other symptoms,multiple sclerosis,adolescence,Symptoms of Multiple Sclerosis
55,Q: How to manage multiple sclerosis?\nA:,"Keeping the risk levels of multiple sclerosis low and improving, then try to maintain the status of an ineffective therapy for multiple sclerosis.",Take a small stool sample and place it on your doctor's table.,Take your blood and take a deep breath.,Take a needle and draw small circles to the side of a disc.,"Using a soft tissue or paper towel, apply the solution to your sneezing area and then apply it to your sneezing area",Take a small amount of medication to ease the symptoms of multiple sclerosis.,Use a sedative.,"For example, if you are with multiple sclerosis or more than 1 year old, you may need to take over one treatment.",Understand the importance of multiple sclerosis in developing and managing these neurological disorders.,The main purpose is to have the brain function properly.
57,Q: multiple sclerosis stages phases\nA:,multiple sclerosis stages phases,multiple sclerosis stages phases,multiple sclerosis stages phases,Multiple sclerosis stages phases,Multiple sclerosis Stages of Deficit,multiple sclerosis stages phases,Multiple sclerosis stages stages,multiple sclerosis stages phases,Multiple sclerosis stages phases,Multiple sclerosis stage phases
58,Q: Risk to develop multiple sclerosis\nA:,risk,Risk to develop multiple sclerosis,multiple sclerosisn,Multiple sclerosis,multiple sclerosis,Risk to develop multiple sclerosis,The risk of multiple sclerosis varies from person to person,Risk to develop multiple sclerosis,Risk to develop multiple sclerosis,Multiple sclerosis
59,Q: long-term effects likelihood multiple sclerosis\nA:,long-term effects likelihood multiple sclerosis,long-term effects likelihood,long-term effects likelihood multiple sclerosisn,long-term effects likelihood of multiple sclerosis,long-term effects likelihood,long-term effects likelihood multiple sclerosis,long-term effects likelihood of multiple sclerosis,long-term effects likelihood multiple sclerosis,long-term effects likelihood,long-term effects likelihood
62,"Q: disclosing multiple sclerosis at work, how will colleagues react?\nA:",in a retaliatory and aggressive way,(b).,(c).,if not.,'It will make the team happy.',to respond to sclerosis,asphyxiated,in the workplace,in aplomb,for their sclerosis
63,Q: Will multiple sclerosis affect my career?\nA:,"Multiple sclerosis is an organ that occurs during life, as well as in the respiratory system.",(d).,"if you have a history of multiple sclerosis, you'll probably need to take another medical course.",a).,"In a career, a sclerosis is usually an outcome that affects an individual or team and may result in a loss of quality of life or injury.",Yes,Multiple sclerosis is a serious disorder affecting most people with disabilities.,Multiple sclerosis may be one of the reasons why we are able to achieve success.,"A student of two states, Stevens-St. John said that he did not have any medical or financial problems.",Can multiple sclerosis affect my career?
68,Q: List of multiple sclerosis symptoms\nA:,Multiple sclerosis,n,Multiple sclerosis symptomsn,Multiple sclerosis,There is no word on the list of symptoms and symptoms that may indicate the condition.,List of symptoms of multiple sclerosis,Multiple sclerosis,There are symptoms listed below : a headache - vomiting - severe fatigue - nausea - fatigue - severe weakness - vomiting - heartburn - headache - muscle weakness - stomach ache - swelling - onset of multiple sclerosis - septicemia,Multiple sclerosis symptoms,Multiple sclerosis
72,Q: Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?\nA:,no,no,Yes,no,Several sclerosis drugs are usually prescribed to patients with multiple sclerosis.,yes,No,Yes,Yes,No
