qid,query,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
1,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?\nComplete Answer:","Chronic diseases have a negative impact on the individual, as well as the society. Among the most common are cancer, diabetes, cardiovascular disease, and high blood pressure.","Chronic diseases are a group of conditions that cause long-term health problems and may be acquired, inherited, or acquired genetically.","Chronic diseases are conditions that persist for a long period of time, such as heart disease or diabetes. These conditions are the most common cause of disability in the United States. They can have a devastating impact on an individual's quality of life and their ability to work and contribute to society.","Chronic diseases are the most common cause of death and disability in the United States. They include diabetes, heart disease, cancer, high blood pressure, arthritis, cancer of the colon, emphysema, and diabetes mellitus. They can lead to poorer health outcomes in the individual, such as lower quality of life and increased healthcare costs for the society.",Chronic diseases are those that are either long-term or have long-term consequences.,"Chronic diseases are a significant burden on society and individuals, leading to reduced productivity and increased cost of healthcare.",Chronic diseases are conditions that affect people for a long time and cause harm to their health and to society.,"Chronic diseases include: cancer, heart disease, stroke, diabetes, arthritis, depression, and lung disease.",Chronic diseases are diseases that can lead to long-term disability and death.,Chronic diseases are conditions that do not respond to treatment. They have a negative impact on the individual and society.
8,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: best apps daily activity exercise diabetes\nComplete Answer:",Some of the most popular apps include:,"Diabetes Self-Management App Tracker is a free app that can track your daily activity, nutrition, exercise and more.",Diabetes Self Management is an app that allows you to monitor your daily activity and keep track of your food.,Best Diabetes Apps,"Diabetes Self-Management: This app helps you track your daily activity, as well as your blood sugar levels and insulin levels.",Pedometer App,"Runner's World, Apple Watch, Nike+","You can get a free diabetes app that tracks your glucose, insulin, and blood sugar levels.",Glucose Tracker - Tracks your glucose levels in real time.,Diabetes Self-Management App [Google Play]
22,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: my risk for developing type 2 diabetes\nComplete Answer:",Type 2 diabetes occurs when a person eats a lot of sugar and doesn't exercise enough.,Having a sedentary lifestyle and being overweight are risk factors for developing type 2 diabetes.,Type 2 diabetes is a major health risk and is a chronic condition that develops when the body is not producing enough insulin.,How long you have been diagnosed with diabetes affects your risk for developing type 2 diabetes.,Having Type 2 Diabetes: What You Need to Know,"Your risk of developing type 2 diabetes is increased if you are obese, have high blood pressure, or are a smoker.","A person at high risk for type 2 diabetes is over 50, has a family history of type 2 diabetes, and has a BMI of more than 30.","Your risk of developing type 2 diabetes increases with a higher BMI, a higher waist circumference, and higher triglycerides.","If you are overweight, you have a lower risk of developing type 2 diabetes.","You are at a higher risk for developing type 2 diabetes if you are overweight, have high blood pressure, and have a family history of diabetes."
35,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Is a ketogenic / keto diet suitable for people with diabetes?\nComplete Answer:",Yes,No,"Yes, the ketogenic diet is suitable for people with diabetes","Yes, ketogenic diets have been shown to be safe for people with diabetes","Yes, it is often recommended for diabetics, but not for people without diabetes.",No.,"Yes, it is not recommended for people with diabetes because of the high glycemic load that it causes.",Yes,"Yes, the ketogenic diet is suitable for people with diabetes because it is low in carbs and high in fat.",Yes
45,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: Can diabetes be cured?\nComplete Answer:","No, diabetes is incurable.","Yes, but it is difficult to cure.","No, diabetes cannot be cured.","No, diabetes is a chronic disease that does not go away with treatment and is not curable.","No, diabetes cannot be cured.","Yes, if treated early and consistently.","Yes, with the help of medication","Yes, with proper care.","No, diabetes is generally progressive and cannot be cured.","Yes, but only with a commitment to treatment and lifestyle changes."
51,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What is holistic medicine and what does it include?\nComplete Answer:","holistic medicine is a type of medicine that uses a variety of therapies to treat the whole person. Holistic medicine combines elements of conventional medicine, natural medicines, complementary medicine, and alternative medicine.","Holistic medicine includes a combination of complementary therapies such as acupuncture, massage, herbal medicine, and nutrition.","Holistic medicine is a holistic approach to healing, which includes complementary and alternative medicines and treatments, and promoting health and wellness.","Holistic medicine involves the integration of complementary and alternative therapies into a holistic treatment plan, but does not include allopathic medicine.","Holistic medicine is a holistic treatment approach that incorporates complementary and alternative therapies (CAM) in a holistic, non-hierarchical system.","holistic medicine is an approach to integrating western science and traditional medical practices. Holistic medicine includes a broad range of modalities, including complementary medicine, integrative medicine, whole health care, and alternative medicine.","Holistic medicine encompasses an integrated approach that encompasses complementary and alternative medicine, acupuncture, and holistic nutrition.",Holistic medicine is a type of medicine that includes complementary and alternative therapies as well as conventional medical treatment. Holistic medicine does not include orthodox medicine.,"holistic medicine encompasses traditional, complementary, and alternative medicine.","holistic medicine combines traditional healing methods with alternative, complementary, or holistic treatments, and often emphasizes the use of herbal and alternative remedies, food and nutritional supplements, homeopathic medicines, and other natural or holistic therapies."
52,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What are the most common mental health problems? How can I prevent or manage the most common mental health problems?\nComplete Answer:","Depression, bipolar disorder, and anxiety are the most common mental health problems. These problems can be prevented or managed by taking antidepressants, avoiding smoking, quitting smoking, and losing weight.","Depression and anxiety are the most common mental health problems. The majority of people suffering from one of these disorders are not aware of it and are often embarrassed or ashamed by it. If you suspect that you have one of these disorders, you should seek medical help.","Depression, anxiety, addiction, obsessive-compulsive disorder, and psychosis are the most common mental health problems. If you have a mental health problem, seek treatment from your physician.","There are many different mental health problems, but some of the more common ones are: Anxiety and depression are the most common mental health problems. People with these problems may experience a variety of symptoms, but there are some common symptoms that people with these disorders experience. The most common mental health problems are: Symptoms of anxiety include poor concentration, sleep disturbances, and anxiety or depression. Depression may cause problems with social interaction, waking up too early, and sleeping too late. People with depression may also experience: Feelings of sadness and worthlessness. People with depression may also experience: Emotional outbursts and loss of interest in hobbies and activities. Individuals with bipolar disorder may experience: Decreased social participation, interest in hobbies and activities, and decreased interest in food and social situations. People with bipolar disorder may also experience: Increased irritability, anger, and hostility.",A few common mental health problems include:,"The most common mental health problems are depression, anxiety, and phobias. People with these issues are at risk for addiction and violence. Symptoms of mental health issues include:","Mental health problems can include depression, anxiety, bipolar disorder, social anxiety, personality disorders, and eating disorders.","Anxiety disorders, depressive disorders, and obsessive-compulsive disorder","Depression, anxiety, and mood disorders are the most common mental health problems, with many people experiencing one or more of these conditions. The best way to manage or prevent depression is to get treatment early.","Depression, anxiety, and drug addiction are the most common mental health problems. A comprehensive treatment plan for depression can help improve your mood and prevent relapse. For a mental health problem that's less severe, try treatment such as cognitive-behavioral therapy or SSRI antidepressants."
53,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: what is psychotherapy?\nComplete Answer:",An interpersonal relationship in which mental and emotional problems are resolved through talk,"Psychotherapy is a way to help people who have a mental disorder, often for a long period of time, by focusing on their thoughts and feelings.",Psychotherapy is an approach used to treat mental health problems and emotional disturbances by helping people with mental problems cope with their emotions and identify the underlying causes of their problems.,Psychotherapy is a therapeutic relationship in which an individual seeks to learn and grow through psychoeducation and problem solving.,Psychotherapy is a mental health treatment that uses psychoactive medications to change the way someone thinks or feels about themselves or their environment.,"Psychotherapy (from Greek  , ) is a form of therapy in which therapists help the patient to achieve a positive change in his or her life.",Psychotherapy is an approach that uses a variety of modalities (including psychoeducation and cognitive restructuring) to help people overcome their problems.,Psychotherapy is a therapeutic technique used to improve emotional well-being and improve interpersonal relationships.,Psychotherapy is a mental health treatment that uses talk therapy to help with problems that the individual has experienced in his or her life.,a therapeutic relationship in which the therapist helps the client deal with emotional or mental problems
54,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: What does multiple sclerosis diagnosis include? What does it change?\nComplete Answer:","Multiple sclerosis (MS) is a neurodegenerative disease that affects the central nervous system (CNS). It is characterized by a progressive loss of motor, sensory, and sometimes limb function.",Multiple sclerosis is a disease of the central nervous system that causes the nerve cells in the central nervous system to attack and destroy the brain tissue.,Multiple sclerosis is a disease affecting the central nervous system that causes progressive loss of muscle and nerve function.,"Multiple sclerosis (MS) is a disease affecting the central nervous system that causes loss of motor skills and loss of sensation in the hands, feet, and legs. It is a progressive disease that eventually affects the brain and spinal cord.","Multiple sclerosis (MS) is an autosomal recessive autoimmune disease that affects the myelin sheaths (connective tissue that encloses nerve cells), causing progressive damage to nerve tissue.","Multiple sclerosis is a disease in which the body attacks and destroys myelin sheaths (the covering around nerve cells), resulting in loss of function of the central nervous system.",Multiple sclerosis (MS) is a disease affecting the central nervous system. It can cause progressive and sometimes disabling neurological damage.,"Multiple sclerosis (MS) is a condition in which the body attacks itself in an effort to repair tissue damage. It is a chronic and progressive disease, and multiple sclerosis may cause remission or return of disease.","Multiple sclerosis is a degenerative disease of the central nervous system that affects the central nervous system, the brain, and other parts of the body.",Multiple sclerosis is an autoimmune disease affecting the central nervous system that results in damage to myelin sheaths and the nerve tissue that connects brain and spinal cord.
55,"You are a helpful medical knowledge assistant. Provide useful, complete, and scientifically-grounded answers to common consumer search queries about health.\nQuestion: How to manage multiple sclerosis?\nComplete Answer:",Multiple sclerosis is an autoimmune disease that affects the central nervous system. It is often triggered by an infection or injury.,"Multiple sclerosis can be controlled with a combination of medication, immunotherapy, and lifestyle changes.",Multiple sclerosis (MS) is a disease caused by a damaged myelin sheath in the brain. There is no cure for MS.,Multiple sclerosis is a disease that affects the central nervous system. The body's immune system attacks and destroys healthy tissue. Multiple sclerosis can cause permanent disability.,"Multiple sclerosis is a chronic disease that causes demyelinating diseases in the central nervous system. As a result, the brain loses its ability to control muscle movements, nerves, and muscles.","Multiple sclerosis is a neurological disorder that affects the nervous system, the fatty tissue that lines the spinal cord and nerves. It is often called MS, or multiple sclerosis.",Multiple sclerosis is an autoimmune disease and can be managed with medications and lifestyle changes.,"Multiple sclerosis can be managed with medication, physical therapy, diet, and other changes in lifestyle.",Multiple sclerosis is a chronic disease in which the central nervous system attacks myelin sheaths.,Multiple sclerosis is an autoimmune disease that causes the body to attack and destroy healthy tissue.
